ID_Vendita, Data      , ID_Prodotto, ID_Cliente, Quantità, ID_Negozio
      1250, 2024-01-01,         105,          9,        7,          5
      1105, 2024-01-01,         107,         29,        6,          2
      1136, 2024-01-01,         115,         30,       10,          4
      1474, 2024-01-01,         119,         25,        3,          5
      1438, 2024-01-01,         103,         35,        1,          2
      1434, 2024-01-01,         109,         45,       10,          3
      1210, 2024-01-01,         104,         18,        8,          4
      1432, 2024-01-01,         114,         33,        7,          1
      1177, 2024-01-01,         101,         37,        4,          4
      1263, 2024-01-01,         111,         18,       10,          4
      1206, 2024-01-02,         101,         48,        9,          4
      1207, 2024-01-02,         119,         19,        1,          2
      1262, 2024-01-02,         111,          6,        6,          5
      1201, 2024-01-02,         119,          7,        8,          1
      1212, 2024-01-02,         117,          1,        3,          4
      1068, 2024-01-02,         105,         37,        8,          1
      1015, 2024-01-02,         104,          2,        5,          4
      1359, 2024-01-02,         101,         16,        4,          5
      1055, 2024-01-02,         115,         49,        5,          5
      1019, 2024-01-02,         104,         36,        9,          5
      1480, 2024-01-02,         108,         15,        5,          1
      1273, 2024-01-03,         108,         38,        3,          2
      1235, 2024-01-03,         102,         10,        6,          2
      1041, 2024-01-03,         116,         25,        3,          4
      1135, 2024-01-03,         118,         29,        3,          1
      1181, 2024-01-03,         117,         47,        8,          5
      1012, 2024-01-03,         119,          4,        8,          4
      1202, 2024-01-03,         117,         33,        5,          3
      1048, 2024-01-04,         119,         36,        8,          1
      1067, 2024-01-04,         114,         46,        8,          4
      1150, 2024-01-04,         112,         38,        6,          2
      1071, 2024-01-04,         111,         46,        1,          2
      1476, 2024-01-04,         106,          1,        8,          3
      1326, 2024-01-04,         110,          9,        8,          5
      1137, 2024-01-05,         109,         16,        7,          5
      1410, 2024-01-05,         110,         31,        7,          1
      1115, 2024-01-05,         109,         20,        4,          3
      1069, 2024-01-06,         103,         21,        2,          2
      1334, 2024-01-06,         104,         25,       10,          4
      1412, 2024-01-06,         110,         35,        2,          4
      1167, 2024-01-06,         106,         50,        1,          1
      1043, 2024-01-07,         119,         47,        3,          2
      1258, 2024-01-07,         102,         34,        4,          4
      1302, 2024-01-07,         117,         11,        4,          5
      1374, 2024-01-07,         111,         12,        4,          3
      1118, 2024-01-07,         103,         20,        1,          1
      1315, 2024-01-08,         115,         33,        2,          5
      1301, 2024-01-08,         108,         21,        5,          4
      1407, 2024-01-08,         101,         39,        9,          2
      1106, 2024-01-08,         110,         43,        3,          1
      1060, 2024-01-08,         120,         14,        5,          1
      1380, 2024-01-08,         119,         47,        1,          1
      1111, 2024-01-08,         113,         21,        5,          2
      1430, 2024-01-09,         112,         13,        2,          1
      1363, 2024-01-09,         104,         31,        6,          2
      1269, 2024-01-09,         111,         34,        7,          3
      1052, 2024-01-09,         114,         37,        8,          5
      1185, 2024-01-09,         101,         32,        9,          5
      1103, 2024-01-09,         119,         33,        8,          4
      1141, 2024-01-09,         101,          1,        4,          4
      1471, 2024-01-10,         108,          4,        2,          5
      1467, 2024-01-10,         115,         45,        6,          3
      1109, 2024-01-11,         103,         28,        9,          1
      1229, 2024-01-11,         114,         44,        1,          3
      1251, 2024-01-11,         104,         22,        9,          2
      1265, 2024-01-12,         111,         42,        9,          3
      1199, 2024-01-12,         110,          7,        8,          1
      1484, 2024-01-12,         115,         12,        5,          1
      1492, 2024-01-12,         101,         11,       10,          2
      1121, 2024-01-12,         101,         40,       10,          4
      1431, 2024-01-12,         118,         18,        1,          2
      1418, 2024-01-13,         120,         43,        2,          2
      1156, 2024-01-13,         109,          3,        4,          3
      1372, 2024-01-13,         102,         18,        9,          4
      1382, 2024-01-14,         115,         10,        8,          1
      1051, 2024-01-14,         107,          5,        2,          2
      1297, 2024-01-14,         116,          1,        5,          4
      1080, 2024-01-14,         107,          9,       10,          4
      1139, 2024-01-14,         114,         19,        2,          4
      1143, 2024-01-15,         116,         47,        3,          4
      1152, 2024-01-15,         104,          1,        1,          2
      1098, 2024-01-15,         107,         24,        1,          1
      1002, 2024-01-15,         112,         47,        5,          4
      1082, 2024-01-15,         113,         26,        6,          3
      1385, 2024-01-15,         119,         17,        2,          3
      1404, 2024-01-15,         113,         35,        2,          1
      1033, 2024-01-15,         112,         26,        8,          4
      1477, 2024-01-16,         103,         46,        6,          3
      1439, 2024-01-16,         101,         42,       10,          4
      1459, 2024-01-16,         114,         25,        9,          4
      1259, 2024-01-16,         106,         23,        4,          5
      1417, 2024-01-16,         102,         37,        4,          2
      1230, 2024-01-16,         102,         35,        4,          2
      1448, 2024-01-16,         105,         39,        3,          1
      1381, 2024-01-16,         102,         32,        8,          3
      1223, 2024-01-17,         105,          5,        2,          1
      1421, 2024-01-17,         109,         23,        8,          4
      1330, 2024-01-17,         112,          9,       10,          1
      1361, 2024-01-17,         106,         19,       10,          2
      1304, 2024-01-17,         120,         11,        8,          3
      1074, 2024-01-18,         112,          1,        3,          5
      1346, 2024-01-18,         108,         30,        2,          5
      1286, 2024-01-18,         109,         45,        5,          3
      1047, 2024-01-18,         109,         44,        9,          2
      1242, 2024-01-19,         102,         17,        7,          4
